Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TGSRTC - 8824,Super Luxury (Non AC Seater 2+2 Push Back),11:50,16:30,04h 40m,INR 320,31 Seats available,"3.2
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8609,RAJADHANI AC (CONVERTED METRO LUXURY),12:00,16:00,04h 00m,INR 350,33 Seats available,"3.7
51",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8982,Rajdhani (AC Semi Sleeper 2+2),12:15,16:30,04h 15m,INR 350,31 Seats available,"2.6
14",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8932,Super Luxury (Non AC Seater 2+2 Push Back),12:30,16:45,04h 15m,INR 320,20 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8724,Super Luxury (Non AC Seater 2+2 Push Back),12:40,16:45,04h 05m,INR 320,31 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8808,Super Luxury (Non AC Seater 2+2 Push Back),12:50,16:45,03h 55m,INR 320,24 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8681,Rajdhani (AC Semi Sleeper 2+2),13:00,17:00,04h 00m,INR 389,29 Seats available,"3.9
31",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8617,Super Luxury (Non AC Seater 2+2 Push Back),13:20,17:30,04h 10m,INR 320,28 Seats available,"3.7
23",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8736,Super Luxury (Non AC Seater 2+2 Push Back),13:30,17:50,04h 20m,INR 320,19 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8977,Super Luxury (Non AC Seater 2+2 Push Back),13:50,17:45,03h 55m,INR 320,31 Seats available,"3.7
19",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
